13
2 3
42	2	224
71	83	395
24	48	806
50	73	450
48	33	781
29	36	966
93	43	768
48	22	863
23	32	295
5	90	237
84	32	382
31	68	404
52	6	797
90	79	397
95	25	909
7	84	651
22	6	830
67	6	494
28	60	549
73	21	676
12	39	545
52	82	675
91	41	238
90	15	898
82	15	710
21	19	776
38	2	959
87	20	172
5	23	216
99	45	824
57	52	952
56	69	460
0	65	386
79	7	734
46	95	601
28	62	481
69	73	339
31	0	712
99	91	383
21	4	266
40	44	540
6	68	300
66	96	192
66	15	347
44	87	788
99	36	345
12	45	525
62	64	797
62	76	194
36	70	771
29	11	800
50	86	546
21	0	107
20	71	74
81	49	256
28	53	398
54	62	571
15	74	425
21	4	965
70	63	661
2	68	944
74	25	622
44	38	239
43	91	108
31	84	526
95	73	583
25	45	361
67	36	559
72	34	102
95	60	952
92	38	130
92	27	31
14	75	128
35	22	383
94	88	291
87	32	564
59	41	97
53	8	706
26	95	304
6	61	362
33	17	584
69	34	806
49	67	18
54	37	115
44	26	154
56	62	402
31	67	955
6	98	141
31	24	869
5	25	48
96	77	960
61	3	677
99	3	973
9	0	86
86	26	872
21	72	858
64	34	758
13	99	542
59	12	837
99	97	29
74	88	445
26	41	397
70	40	789
84	85	570
85	29	846
57	76	983
56	14	278
73	60	737
96	53	802
35	18	254
80	72	738
84	31	148
65	52	303
36	12	477
73	81	298
8	15	33
71	73	774
45	56	747
37	91	37
71	11	668
59	13	920
38	91	624
25	19	664
0	23	368
34	19	948
70	84	444
6	12	873
81	64	367
21	95	405
89	18	20
40	30	519
58	34	421
12	98	982
78	79	595
56	10	923
49	66	355
3	58	871
89	37	685
82	7	928
78	99	476
44	45	651
38	15	488
90	7	691
17	28	124
35	24	831
70	44	922
54	82	565
72	59	792
52	66	787
3	75	481
60	87	747
3	29	313
38	39	778
2	4	55
38	12	935
94	21	423
71	55	389
40	93	664
91	68	524
34	37	573
25	70	845
13	50	993
39	12	350
60	32	749
37	28	297
15	79	158
37	40	88
70	1	150
97	68	304
41	54	371
55	19	856
44	20	849
45	39	205
88	26	518
60	50	570
0	31	532
41	6	142
79	69	389
79	43	783
27	72	596
14	87	646
0	50	685
62	40	203
30	77	204
90	75	355
73	69	909
54	72	340
74	40	659
61	64	853
0	29	806
21	79	170
1	3	530
46	18	967
48	56	936
75	78	59
38	94	240
64	71	429
51	94	423
37	39	940
27	14	762
77	89	744
27	46	252
26	41	421
46	61	53
82	37	124
47	9	730
6	35	469
26	8	284
60	62	187
61	11	727
56	80	163
35	35	948
29	20	789
55	9	213
16	40	548
54	26	231
56	58	16
68	67	7
28	30	240
78	66	401
21	8	985
93	33	797
3	64	999
2	97	311
3	96	780
92	58	923
90	50	62
49	48	712
33	26	310
9	92	730
19	15	208
44	52	174
42	58	174
31	42	145
38	96	471
1	11	162
42	91	330
77	24	933
58	87	631
80	30	171
0	81	41
22	2	432
31	39	175
13	35	850
36	75	741
71	43	358
20	43	472
87	43	70
83	70	65
77	25	193
56	58	66
79	53	13
9	52	166
78	18	414
97	79	109
36	39	4
69	42	381
69	83	562
34	23	275
50	80	561
61	15	647
63	8	404
54	37	106
22	57	574
65	46	197
34	94	775
87	33	299
49	87	874
58	5	427
55	6	102
81	19	12
3	40	496
94	42	320
73	21	557
27	4	46
69	69	125
55	80	693
23	68	167
19	78	779
6	36	470
47	25	735
48	59	142
65	61	413
80	13	438
99	43	945
5	6	110
94	26	340
7	50	909
56	82	75
3	93	216
23	37	727
66	6	190
18	81	334
63	16	683
15	38	715
47	68	852
10	16	727
8	66	483
12	50	931
29	21	418
26	34	668
10	59	775
88	17	803
88	56	721
40	11	209
98	42	249
39	2	1000
32	51	375
72	45	449
54	3	781
84	5	27
6	91	414
80	88	249
21	58	109
41	64	633
7	88	304
79	28	225
19	87	968
68	31	682
40	21	969
67	90	713
11	9	226
38	6	81
95	29	104
99	42	55
1	46	618
1	33	450
74	9	487
37	48	887
85	19	217
4	6	243
8	65	944
85	57	666
4	92	748
0	53	787
23	47	966
98	64	131
59	12	693
37	16	890
17	21	360
93	95	703
93	60	805
23	51	326
5	32	242
80	77	708
33	93	51
35	40	282
28	75	107
24	4	623
56	3	151
81	52	935
46	39	496
48	25	287
46	75	63
69	39	824
51	31	660
33	35	686
89	68	927
74	28	501
11	40	429
34	75	783
97	46	45
83	13	261
90	60	364
70	81	390
36	26	191
31	57	770
12	66	697
93	82	256
97	75	648
63	30	409
39	81	775
8	91	747
21	64	25
26	38	877
40	83	296
64	99	937
36	75	516
50	89	735
93	6	97
92	66	609
58	34	63
39	8	78
79	78	825
77	98	925
96	15	876
29	63	273
40	32	929
75	27	759
89	99	906
14	77	162
16	28	957
93	50	131
29	55	852
63	60	201
60	3	32
27	54	537
78	13	511
92	40	388
66	78	963
26	95	500
86	35	855
21	66	246
87	44	44
54	55	906
43	85	245
59	80	399
5	13	333
69	22	358
38	29	230
26	35	498
92	20	264
2	11	823
0	7	898
40	65	246
96	40	929
80	22	727
35	84	930
20	43	159
61	49	530
52	77	474
59	70	756
98	23	277
50	23	277
61	20	822
37	28	506
4	22	341
47	75	205
97	33	593
88	16	133
28	70	777
29	18	401
60	25	867
83	17	3
35	79	41
6	49	616
78	27	773
59	34	913
94	47	401
4	85	393
59	2	575
11	8	34
12	48	230
91	68	510
57	96	763
97	25	645
72	57	447
70	86	296
30	65	382
67	99	108
75	37	928
22	63	537
54	9	455
61	36	96
6	32	601
15	39	644
45	94	287
30	37	295
0	71	91
44	49	95
11	56	27
45	29	376
6	41	340
10	91	426
12	35	440
48	80	53
55	44	55
32	85	618
73	67	538
65	95	468
75	86	205
43	7	534
90	68	145
14	34	375
53	69	332
90	72	105
12	11	856
15	34	951
41	58	653
24	3	262
98	80	559
57	42	681
31	35	120
36	92	432
1	35	90
64	91	286
8	1	159
14	42	949
67	31	816
73	25	654
35	90	85
32	34	487
22	91	451
87	34	414
44	91	29
16	69	516
59	39	752
22	62	293
29	22	221
3	25	65
50	40	974
86	62	654
23	19	865
75	3	63
94	11	925
13	67	589
43	43	401
65	52	254
95	42	808
0	50	383
61	45	721
37	73	682
8	87	366
85	84	697
78	86	951
8	52	647
90	87	823
46	38	100
57	66	424
16	12	326
11	97	921
3	57	837
38	79	448
77	95	209
15	65	103
69	67	645
77	70	58
57	8	499
27	38	862
87	48	387
17	65	529
52	68	311
51	98	94
44	62	374
64	66	620
22	44	432
82	22	417
48	6	742
12	64	45
92	66	820
31	69	885
91	4	553
38	37	130
89	91	808
66	61	603
84	20	567
55	81	144
49	62	598
21	2	170
92	92	431
95	46	747
37	18	830
25	36	575
7	82	544
89	82	113
40	19	602
89	35	821
54	79	871
61	75	380
13	48	453
35	83	892
96	63	258
37	84	94
50	8	887
65	21	566
16	72	815
59	55	684
73	10	777
48	12	171
32	91	388
91	9	191
34	64	621
15	23	257
39	80	128
11	57	542
84	25	814
58	94	441
77	47	342
41	78	492
25	89	312
64	3	695
77	9	707
10	97	656
60	76	684
73	14	319
47	98	824
73	80	743
8	53	735
92	42	345
86	76	81
35	52	705
10	51	750
85	37	918
93	31	244
22	75	467
82	80	908
65	85	728
44	75	605
0	89	905
96	81	731
88	15	212
56	63	669
17	31	461
93	11	724
25	4	251
73	49	508
9	65	62
97	20	43
61	74	304
23	68	739
1	74	162
71	22	750
25	5	392
37	84	374
18	15	839
28	3	87
56	96	439
28	43	884
68	2	642
74	7	365
87	75	742
57	77	369
49	62	841
34	53	278
24	90	43
7	20	403
25	47	911
67	22	696
78	56	164
58	10	843
69	66	990
49	97	354
23	42	867
17	52	961
17	4	472
88	10	293
59	97	87
28	50	173
99	22	387
48	56	520
18	55	188
50	25	544
25	67	775
80	97	781
54	2	659
39	47	214
15	29	445
49	3	951
64	27	101
81	15	76
27	30	219
11	72	80
80	9	78
14	40	742
97	39	802
84	83	988
55	86	772
21	15	201
50	84	899
74	85	472
23	5	908
71	38	119
45	3	521
75	19	911
74	21	839
5	0	177
91	72	365
41	71	422
36	78	875
84	61	174
55	39	632
56	56	543
78	32	67
65	96	911
53	99	151
51	19	65
30	31	821
47	55	790
63	69	331
42	24	57
58	16	400
19	0	996
66	7	234
2	15	201
87	38	526
63	55	415
9	36	953
61	99	779
78	11	807
63	91	717
48	94	522
86	46	633
12	22	735
48	29	71
10	34	740
51	58	618
97	84	320
20	64	888
10	80	761
86	34	704
0	79	241
6	8	897
2	79	32
53	91	39
12	42	318
38	70	384
6	4	507
46	90	555
8	95	832
17	42	792
42	24	999
71	47	148
14	29	947
15	2	276
69	1	758
19	15	902
21	87	274
1	40	55
97	13	263
45	61	890
81	67	387
28	82	666
25	29	456
69	86	75
40	24	270
65	87	329
1	79	216
25	35	467
92	13	572
55	26	479
69	8	717
39	81	598
23	10	242
53	68	67
43	4	224
9	28	570
65	32	204
26	39	348
30	83	493
54	73	562
95	17	87
10	13	432
45	90	551
73	62	755
4	54	956
81	36	279
43	3	392
21	40	615
4	20	905
78	50	869
53	37	736
60	9	782
10	41	358
29	71	430
87	17	801
7	1	107
6	68	416
0	73	604
19	5	697
16	49	777
16	89	529
24	0	920
39	97	796
54	60	631
50	66	809
89	23	991
53	19	41
91	63	270
43	19	258
84	48	74
7	64	567
9	74	567
6	76	916
85	44	455
69	0	570
63	10	631
98	74	227
70	22	89
69	79	161
81	33	401
55	16	249
55	49	473
99	69	120
50	25	640
95	94	763
68	73	484
62	90	977
97	73	481
2	10	669
22	70	438
56	9	61
72	35	171
69	9	470
99	59	757
93	23	526
1	42	765
58	18	149
75	94	461
30	40	167
32	80	240
12	10	314
2	83	780
21	49	389
78	86	651
73	53	911
25	30	869
53	96	33
19	67	954
78	99	178
94	23	232
90	4	90
16	51	948
73	43	147
58	25	379
44	30	774
46	36	63
73	14	163
78	6	679
70	54	66
43	47	70
24	26	683
50	88	450
20	94	958
57	21	911
53	43	410
2	73	603
56	39	559
91	31	61
13	76	388
89	48	994
79	24	802
74	98	211
20	83	420
11	24	138
88	74	438
48	94	441
12	40	232
82	14	882
16	86	399
87	59	416
28	31	367
43	54	100
42	34	5
44	29	212
7	19	27
73	74	314
35	51	842
6	95	301
51	33	725
22	10	937
61	93	271
5	78	237
65	98	973
55	10	385
68	34	116
76	89	772
14	73	833
91	66	319
35	63	902
64	79	817
11	26	339
46	62	845
40	48	43
5	48	263
39	88	72
22	34	487
38	39	162
33	83	928
84	21	705
22	61	446
22	28	875
53	87	624
5	32	244
92	86	431
85	19	855
25	76	462
8	64	267
57	11	619
11	16	909
91	48	391
28	16	841
67	46	929
37	11	292
1	79	342
65	73	802
63	58	49
52	58	964
91	28	26
99	68	315
15	64	274
48	21	246
56	68	273
59	91	837
90	86	683
17	77	658
85	76	553
82	29	741
57	76	718
89	88	570
17	33	324
96	67	389
16	17	64
65	33	887
84	1	393
11	87	732
30	73	100
78	47	119
18	19	807
72	78	908
83	68	7
89	42	331
83	21	423
35	29	136
92	40	189
55	71	973
39	47	910
29	32	672
49	62	858
23	48	62
74	53	594
75	54	306
44	18	483
52	63	704
61	59	844
32	44	56
87	61	497
67	73	194
91	79	220
76	73	101
58	26	47
36	34	553
12	26	668
52	62	467
71	70	810
69	96	502
77	45	724
31	52	246
48	47	807
25	84	98
84	73	725
7	41	359
11	57	620
36	8	656
42	73	457
52	3	813
72	73	918
8	77	207
13	18	623
47	21	430
15	57	167
47	17	24
59	49	260
89	19	487
28	49	809
89	6	493
43	89	712
80	79	982
2	5	384
66	71	123
8	61	232
4	63	505
77	54	293
8	51	732
42	4	92
36	86	731
83	4	519
63	26	774
8	71	397
65	97	284
25	76	434
83	70	727
79	34	356
13	9	232
14	97	718
1	32	523
66	84	448
14	60	852
41	54	165
93	94	353
50	67	155
8	90	77
74	55	300
50	74	438
10	8	934
60	86	136
41	75	501
17	10	544
59	68	171
29	18	441
91	68	180
42	2	778
77	77	326
15	47	954
19	96	242
39	57	402
57	94	994
28	43	266
29	12	240
25	24	577
51	50	454
22	11	202
75	3	209
51	57	238
44	19	185
99	86	880
11	31	957
79	19	623
96	38	413
17	70	476
19	17	35
50	10	419
87	58	384
40	47	972
36	30	600
73	75	800
24	14	849
50	59	567
95	37	128
71	88	689
66	0	506
33	86	878
71	1	509
57	82	46
96	86	469
71	34	444
87	85	292
11	9	97
51	75	744
23	7	577
88	47	225
89	9	777
12	32	636
56	66	493
81	27	247
32	32	534
98	17	798
86	14	720
41	3	636
20	6	312
25	27	253
87	6	239
83	67	631
7	52	818
86	27	197
64	74	61
59	6	63
73	35	994
34	0	732
29	13	636
46	14	298
95	46	762
92	18	176
89	86	231
71	81	404
23	21	476
45	50	337
90	2	381
74	13	546
61	80	322
6	34	710
82	93	646
94	44	859
55	44	972
63	44	901
55	51	854
3	35	612
64	34	689
63	77	161
74	1	815
37	69	564
11	73	148
52	33	757
9	65	791
53	92	650
64	56	881
96	79	721
79	46	82
54	17	303
95	73	492
70	20	592
55	62	622
3	35	559
6	52	394
26	77	340
72	16	869
80	11	564
38	96	460
71	62	880
42	96	811
23	56	417
38	76	499
97	13	986
26	52	687
31	35	697
47	63	124
36	30	448
38	42	501
56	41	157
77	53	757
56	43	579
42	58	125
18	87	84
15	55	152
75	10	908
93	24	58
94	91	770
28	26	838
79	39	536
84	16	47
47	88	305
13	31	740
29	72	718
7	71	588
3	61	981
72	52	142
30	65	465
98	10	73
98	83	525
6	90	973
11	6	503
32	3	174
36	78	341
9	63	467
18	42	468
65	97	797
36	28	768
17	62	652
0	85	92
6	97	262
48	23	471
84	68	519
93	46	511
41	23	330
66	0	975
27	85	522
42	56	555
72	87	293
49	58	627
91	68	148
58	19	246
25	87	505
66	30	306
21	25	556
24	55	546
94	53	279
69	48	716
36	44	321
71	48	74
3	80	191
20	2	263
4	69	247
26	6	597
61	80	838
0	18	364
55	59	455
82	53	427
65	51	188
47	20	885
51	48	632
83	51	948
46	66	706
80	36	759
66	61	810
36	90	898
26	57	364
62	67	585
46	45	707
88	85	647
6	96	855
77	95	831
79	31	841
92	67	12
88	19	46
67	8	121
12	9	920
87	27	891
53	31	467
75	88	340
93	1	310
82	13	660
35	72	969
35	8	794
76	34	505
70	71	827
78	66	53
4	30	634
53	82	414
81	22	754
80	97	938
67	40	54
64	33	420
46	94	467
98	54	41
73	74	710
63	3	3
52	7	272
62	42	845
36	41	421
48	85	335
58	77	257
2	30	784
95	17	192
39	90	324
82	4	702
53	0	97
3	56	407
5	5	128
66	74	583
11	62	780
52	12	873
31	21	482
44	4	758
19	13	527
30	66	160
60	71	529
28	51	500
76	42	252
96	33	147
59	22	207
73	62	72
61	26	283
24	95	848
89	12	898
22	8	584
41	46	593
6	20	402
50	14	940
67	19	802
70	34	406
98	30	429
44	1	757
30	33	379
89	68	543
83	97	60
60	27	280
56	0	362
56	88	986
36	32	877
3	67	195
45	50	546
40	93	191
14	30	392
47	59	652
68	90	717
96	93	360
5	62	137
35	84	879
96	87	643
68	27	360
5	52	902
4	14	920
52	54	213
0	16	575
27	34	830
38	14	980
40	41	47
17	52	367
0	85	489
83	18	404
68	14	345
8	50	515
53	47	378
89	83	516
97	45	235
43	86	39
38	11	797
13	50	477
52	39	346
39	58	591
16	52	579
1	56	863
55	1	967
3	97	199
5	80	188
42	28	963
52	34	892
66	67	603
0	63	584
36	31	615
75	82	728
73	61	604
29	93	515
79	53	393
46	0	878
21	32	926
23	4	517
7	12	445
56	32	266
90	0	96
11	77	443
8	91	624
51	33	399
36	45	546
42	20	789
54	71	858
51	47	556
41	94	401
92	80	226
46	81	543
71	88	395
97	57	654
32	12	922
84	13	278
40	38	38
12	71	89
43	91	618
88	92	122
0	0	105
37	42	161
61	74	478
44	13	821
68	76	686
55	7	873
9	21	230
5	64	227
29	50	950
8	72	234
7	18	849
13	28	971
40	77	64
3	35	230
32	84	358
18	71	969
56	74	658
18	84	985
98	94	399
19	11	579
92	17	370
58	68	225
97	43	52
28	95	48
36	23	337
15	21	39
56	43	4
11	42	42
15	51	550
36	22	616
90	28	705
65	92	949
81	56	297
92	86	530
69	69	868
80	48	753
43	15	656
68	47	620
43	88	145
67	62	570
88	80	697
14	31	716
78	33	854
27	66	89
45	33	717
76	7	750
66	36	360
9	37	474
44	50	753
67	7	108
91	51	704
99	22	326
21	97	735
16	62	155
84	76	52
84	87	381
6	26	857
57	66	561
97	99	713
31	74	302
13	64	860
18	56	353
87	48	274
5	52	304
53	14	122
15	51	162
91	22	384
88	16	7
8	85	429
44	4	490
33	50	43
82	25	727
66	12	398
17	10	954
54	27	657
90	65	305
23	99	572
21	40	533
20	97	638
62	61	787
83	79	470
47	64	359
34	97	445
35	87	67
37	45	143
40	80	365
3	12	140
27	77	800
2	20	322
96	75	296
62	38	791
34	48	713
15	81	222
96	37	878
45	73	2
12	19	451
26	49	212
2	85	768
62	12	698
79	53	441
39	25	541
23	1	286
45	82	285
69	14	645
12	79	122
51	29	736
4	50	676
92	6	999
44	97	635
31	94	137
68	6	805
84	97	544
94	48	262
41	1	289
5	93	864
67	17	420
37	74	666
13	42	663
56	91	786
74	36	544
21	43	574
76	55	18
78	90	430
97	25	410
95	0	75
43	81	977
67	83	308
90	50	388
27	36	358
8	58	767
73	57	84
75	9	671
92	88	405
41	28	628
89	96	730
21	93	706
28	5	578
46	84	372
11	67	889
84	32	448
91	51	712
50	38	234
34	50	181
98	31	831
14	57	179
4	27	292
33	35	623
4	14	918
37	59	740
67	37	278
16	99	291
57	67	991
56	60	389
57	7	462
62	49	739
83	53	133
74	58	52
97	30	710
82	87	800
32	72	247
89	89	411
37	52	646
93	47	657
4	67	686
24	37	332
14	95	585
11	14	310
73	57	600
19	61	865
78	61	907
23	35	451
3	75	351
83	25	270
8	74	297
57	7	511
28	34	410
49	38	241
17	96	980
60	9	176
31	61	934
8	93	876
27	13	973
52	49	48
63	8	769
32	22	893
32	28	91
52	74	956
33	93	775
84	34	628
11	73	622
53	55	857
1	72	882
83	85	990
90	39	942
27	69	723
95	5	799
57	12	491
60	96	804
41	99	4
75	80	909
21	90	259
37	10	724
43	90	937
5	86	786
41	17	599
55	32	657
85	95	887
22	48	114
34	24	911
39	72	9
8	85	122
16	48	893
56	24	101
93	46	700
73	19	52
55	52	326
84	76	488
71	51	359
89	49	962
91	23	759
73	57	113
15	12	588
61	18	829
39	62	299
63	69	799
93	8	920
29	81	701
3	30	215
15	8	373
86	46	59
39	67	728
68	63	822
3	64	142
67	3	567
55	87	372
68	2	271
20	64	662
97	39	168
77	45	195
64	48	203
77	20	426
23	6	407
53	18	453
26	52	37
44	84	224
38	47	153
79	76	786
99	77	640
73	93	416
49	92	167
71	82	32
42	10	597
19	33	108
66	58	801
49	4	119
94	16	286
51	36	970
71	86	313
8	70	37
54	87	721
22	58	236
54	55	777
24	38	492
84	74	585
96	67	856
85	45	91
93	48	653
92	46	282
84	14	633
32	4	254
58	46	895
2	46	989
32	44	532
79	0	545
46	88	184
47	77	605
98	54	263
35	10	838
39	88	580
42	22	589
2	24	951
66	57	415
24	49	967
37	10	429
79	42	224
69	91	180
20	87	861
2	37	462
31	29	919
40	4	352
50	86	226
7	37	161
77	65	968
92	59	275
0	75	391
47	79	564
88	83	632
81	77	365
52	8	916
71	99	490
86	55	25
88	31	553
36	88	88
61	93	509
63	21	637
69	72	76
70	62	540
68	63	833
65	75	718
47	99	753
95	91	19
31	4	311
52	18	776
26	90	579
53	87	326
0	36	147
95	87	710
24	19	876
90	11	477
2	0	921
4	76	749
90	26	357
74	61	660
50	53	417
70	94	403
38	24	731
8	25	177
65	98	688
19	74	80
25	29	13
81	88	936
9	72	380
98	32	807
74	3	41
78	63	534
10	78	160
74	36	452
23	29	68
42	9	700
59	34	821
94	80	217
29	19	799
90	10	779
58	79	595
77	90	306
53	63	673
78	33	803
57	34	247
85	25	665
43	17	123
71	77	841
54	84	405
23	2	590
8	79	994
34	80	838
52	9	478
92	80	124
72	60	705
11	22	36
24	84	615
93	79	443
38	69	965
36	87	810
25	61	936
30	33	420
3	63	928
21	50	847
58	33	459
72	89	965
51	56	664
86	73	527
30	34	280
45	0	788
98	27	803
48	14	818
37	61	101
56	59	698
5	88	646
83	90	421
35	2	921
62	34	818
49	96	650
71	50	845
14	7	412
39	19	153
87	14	391
93	40	802
64	94	929
27	14	147
91	33	34
43	45	507
89	5	831
20	16	32
71	9	631
30	23	770
91	18	142
9	54	233
59	76	307
12	22	574
8	46	80
49	62	519
28	29	870
64	40	705
7	59	252
24	50	762
46	23	220
40	60	879
54	46	350
81	33	392
36	4	892
31	17	557
82	77	226
65	23	945
77	50	771
58	17	126
31	95	969
48	20	527
95	20	835
91	30	943
37	81	815
90	25	319
79	70	869
58	26	523
10	98	927
24	66	296
75	78	92
82	58	324
58	35	634
9	7	323
52	71	382
97	79	235
98	90	794
35	32	739
6	75	478
30	80	910
52	46	9
85	18	607
18	97	215
27	10	434
89	62	961
25	50	922
97	33	986
87	17	642
26	81	694
43	59	759
20	29	14
92	95	392
2	93	491
21	49	835
30	22	876
22	32	743
18	74	825
84	87	513
8	27	392
16	65	672
7	75	565
43	35	82
41	16	844
40	60	849
1	62	661
39	16	300
5	62	276
64	22	140
16	82	400
3	36	520
86	43	511
32	89	161
94	53	504
24	29	460
3	44	247
65	13	55
15	25	68
73	17	623
72	27	842
25	72	135
42	75	201
69	80	99
5	35	807
45	16	517
89	44	764
51	22	922
91	89	566
89	25	406
96	4	563
31	47	753
62	10	177
83	89	890
41	97	206
89	52	420
88	37	576
54	28	739
12	21	670
88	34	767
92	80	235
17	99	149
11	59	381
9	60	972
24	68	650
0	63	866
32	52	947
10	48	423
93	13	143
6	35	141
44	48	838
59	32	975
8	33	481
36	57	465
23	34	907
50	26	777
45	75	501
20	58	309
90	87	342
62	10	306
79	63	173
83	49	420
58	99	145
50	9	156
50	90	838
66	39	6
12	70	666
75	83	755
94	50	829
55	47	34
34	64	935
34	14	70
23	98	277
4	83	14
61	57	764
90	59	872
18	19	70
33	84	112
87	88	928
89	96	996
21	94	260
98	49	483
84	57	923
78	12	604
93	88	537
85	65	905
61	6	562
72	14	782
97	36	459
34	46	965
17	24	825
83	31	511
32	12	537
35	72	202
36	87	917
27	95	351
38	22	669
57	69	534
83	24	489
46	6	841
35	43	990
83	86	92
32	60	746
27	31	119
48	0	661
27	51	955
60	7	969
23	39	86
73	34	699
58	41	886
6	96	995
87	30	905
54	17	284
45	70	878
19	2	429
46	19	982
36	24	852
88	83	710
98	58	179
46	52	549
95	10	976
25	18	789
35	45	203
57	30	223
86	29	260
17	21	464
8	67	58
12	75	135
46	86	795
47	76	847
96	80	356
21	18	746
98	29	507
97	51	264
98	8	839
73	36	336
66	95	750
98	26	969
7	89	353
80	85	85
96	75	830
41	91	147
27	93	635
13	10	458
83	95	541
25	95	837
70	69	150
64	17	967
48	77	265
93	16	835
89	35	604
44	23	977
61	73	942
71	49	937
11	85	192
30	48	927
33	62	539
50	73	350
73	64	547
62	82	174
80	9	156
9	41	698
51	30	881
31	23	545
19	90	585
80	84	759
98	52	769
77	28	151
61	44	501
99	99	351
13	83	485
51	39	864
19	98	988
86	84	31
79	22	574
9	30	919
94	88	125
22	0	417
55	11	285
63	49	169
45	73	626
2	56	443
35	21	683
18	6	568
84	24	523
77	14	418
73	9	482
17	22	506
46	71	740
64	90	206
54	63	968
57	60	834
47	73	819
92	88	317
24	8	963
1	24	623
80	10	416
55	88	559
95	57	39
77	45	348
97	22	744
22	85	905
93	25	720
66	1	692
11	36	151
88	55	833
6	24	488
24	43	94
13	16	739
63	11	647
31	42	119
71	96	917
36	52	348
58	25	6
23	98	739
2	59	559
74	4	732
67	9	38
13	89	769
71	74	798
98	61	530
81	92	81
45	71	278
56	18	690
30	95	729
7	7	645
94	36	338
47	35	973
46	52	582
18	21	479
97	24	388
96	64	752
78	87	687
0	3	465
13	96	255
5	59	982
0	94	904
30	75	730
4	20	818
69	41	309
95	47	112
16	39	200
20	98	517
21	75	878
89	35	358
58	67	853
98	35	481
63	70	349
83	48	501
52	52	979
9	49	572
14	94	324
90	96	814
97	99	234
26	45	539
35	75	846
79	87	53
86	79	459
21	23	800
62	51	475
95	41	68
75	92	700
44	17	806
92	59	83
78	93	169
58	89	858
33	55	654
99	42	852
39	95	206
84	4	20
43	66	181
68	65	456
26	15	275
58	60	334
77	29	481
41	74	480
22	15	45
34	19	769
28	94	665
6	80	963
53	48	799
73	41	5
50	47	544
78	85	469
73	25	694
68	57	768
15	70	816
50	58	127
93	73	619
1	73	311
96	35	483
62	3	949
85	21	832
45	81	391
95	49	339
72	66	641
52	78	256
28	81	394
74	82	836
54	18	255
38	43	974
98	92	499
1	7	975
84	65	261
1	69	616
17	53	662
58	60	524
23	8	94
21	17	440
35	89	341
17	21	150
82	24	623
36	55	303
50	40	156
85	3	157
43	97	539
46	26	119
97	92	87
5	2	951
61	3	964
71	21	333
42	43	742
93	4	555
59	91	715
53	26	805
24	56	101
49	96	336
12	0	932
68	86	538
64	77	101
98	41	194
83	21	317
49	50	225
71	58	166
25	57	917
87	23	724
61	71	654
8	22	533
61	41	476
95	92	180
64	57	139
36	51	231
24	19	413
7	75	923
13	71	719
9	1	286
65	89	20
33	55	374
93	70	532
62	97	368
60	59	849
31	50	184
9	48	497
58	70	304
12	61	644
45	16	338
22	43	426
61	82	524
82	8	921
57	93	186
80	91	90
74	98	898
52	47	963
65	88	66
50	12	623
2	40	84
6	74	846
89	87	450
72	21	424
82	28	1
78	57	66
28	61	38
47	13	500
15	18	441
38	7	83
41	87	212
5	55	490
76	43	374
80	15	693
45	47	500
47	51	617
69	39	723
72	24	861
58	62	913
7	92	49
10	76	559
37	15	105
40	43	113
71	83	717
37	73	672
41	94	467
10	16	155
52	79	957
18	66	985
46	85	211
50	49	226
60	53	151
90	32	279
97	9	925
94	29	117
12	85	241
85	90	397
45	1	642
12	21	732
68	77	295
77	21	879
70	90	965
8	96	982
34	94	864
47	51	844
18	23	156
84	78	743
66	79	972
53	48	545
5	76	599
14	53	398
36	68	493
22	80	746
60	66	28
2	1	920
30	78	25
32	56	682
86	2	230
41	51	384
86	0	527
3	67	125
48	39	367
51	82	881
20	43	732
71	59	495
93	50	819
19	96	129
45	52	559
55	0	492
17	30	877
25	83	273
99	44	403
77	11	443
74	9	266
37	57	323
47	18	261
53	82	940
99	5	334
84	11	27
43	53	245
8	87	730
78	88	536
11	63	157
41	86	361
58	29	85
47	46	109
23	60	915
86	36	286
32	2	964
70	67	318
70	63	408
39	87	253
5	68	648
26	82	748
44	29	816
15	15	890
75	73	594
91	7	430
59	80	684
42	56	815
43	53	441
46	87	984
38	27	397
79	81	887
34	3	467
7	9	288
4	58	931
13	1	466
63	56	726
43	31	417
84	47	536
52	54	377
30	26	688
51	87	444
46	22	676
88	60	54
97	14	506
26	82	806
17	66	44
32	28	569
85	17	219
12	41	719
43	73	487
84	16	986
27	60	267
1	70	618
87	86	627
92	47	468
53	54	306
65	30	628
23	56	807
40	31	837
48	55	292
50	7	543
8	16	717
38	18	339
26	81	855
9	28	933
96	53	573
62	82	932
72	37	374
31	58	394
77	30	959
3	10	131
74	26	547
66	32	829
33	12	470
1	50	158
56	28	400
95	99	607
57	56	438
98	63	750
88	14	363
2	99	370
69	8	743
83	25	537
26	70	435
41	20	591
93	48	333
59	49	258
5	66	64
58	32	481
56	42	281
41	98	133
28	50	236
42	98	300
67	74	138
93	16	474
93	2	994
50	59	498
55	20	23
39	19	143
25	89	867
73	49	511
72	85	3
49	14	574
24	29	877
53	63	491
48	30	474
95	85	555
55	3	781
26	86	731
30	86	972
69	23	43
80	25	911
29	59	906
3	15	960
31	72	601
26	15	655
6	97	688
96	43	511
14	85	49
3	88	250
6	88	71
91	57	841
95	36	462
85	53	750
58	87	376
68	50	909
35	13	598
50	85	808
22	64	816
28	40	996
83	15	273
99	39	539
10	28	439
29	33	583
